english,chinese,history,total,count
8,5,7,20,9
8,5,6,19,6
8,5,5,18,4
8,5,4,17,2
8,5,3,16,1
8,4,15,27,1
8,4,14,26,3
8,4,13,25,6
8,4,12,24,10
8,4,11,23,11
8,4,10,22,12
8,4,9,21,10
8,4,8,20,8
8,4,7,19,6
8,4,6,18,3
8,4,5,17,3
8,4,4,16,1
8,3,15,26,1
8,3,14,25,3
8,3,13,24,5
8,3,12,23,7
8,3,11,22,8
8,3,10,21,9
8,3,9,20,8
8,3,8,19,6
8,3,7,18,4
8,3,6,17,3
8,3,5,16,2
8,3,4,15,1
8,2,15,25,1
8,2,14,24,2
8,2,13,23,3
8,2,12,22,4
8,2,11,21,5
8,2,10,20,6
8,2,9,19,5
8,2,8,18,4
8,2,7,17,3
8,2,6,16,2
8,2,5,15,1
8,2,4,14,1
7,15,15,37,3
7,15,14,36,7
7,15,13,35,12
7,15,12,34,20
7,15,11,33,22
7,15,10,32,24
7,15,9,31,20
7,15,8,30,15
7,15,7,29,11
7,15,6,28,7
7,15,5,27,5
7,15,4,26,3
7,15,3,25,1
7,14,15,36,7
7,14,14,35,16
7,14,13,34,28
7,14,12,33,45
7,14,11,32,51
7,14,10,31,56
7,14,9,30,47
7,14,8,29,36
7,14,7,28,26
7,14,6,27,16
7,14,5,26,12
7,14,4,25,6
7,14,3,24,2
7,13,15,35,13
7,13,14,34,31
7,13,13,33,56
7,13,12,32,90
7,13,11,31,102
7,13,10,30,112
7,13,9,29,94
7,13,8,28,71
7,13,7,27,53
7,13,6,26,32
7,13,5,25,25
7,13,4,24,12
7,13,3,23,3
7,12,15,34,19
7,12,14,33,46
7,12,13,32,83
7,12,12,31,133
7,12,11,30,149
7,12,10,29,164
7,12,9,28,138
7,12,8,27,105
7,12,7,26,78
7,12,6,25,47
7,12,5,24,36
7,12,4,23,18
7,12,3,22,4
7,11,15,33,23
7,11,14,32,55
7,11,13,31,98
7,11,12,30,157
7,11,11,29,177
7,11,10,28,194
7,11,9,27,163
7,11,8,26,124
7,11,7,25,92
7,11,6,24,56
7,11,5,23,43
7,11,4,22,21
7,11,3,21,5
7,11,2,20,1
7,10,15,32,22
7,10,14,31,52
7,10,13,30,93
7,10,12,29,148
7,10,11,28,167
7,10,10,27,183
7,10,9,26,154
7,10,8,25,117
7,10,7,24,87
7,10,6,23,53
7,10,5,22,40
7,10,4,21,20
7,10,3,20,5
7,10,2,19,1
7,9,15,31,17
7,9,14,30,41
7,9,13,29,74
7,9,12,28,118
7,9,11,27,133
7,9,10,26,146
7,9,9,25,123
7,9,8,24,93
7,9,7,23,69
7,9,6,22,42
7,9,5,21,32
7,9,4,20,16
7,9,3,19,4
7,8,15,30,12
7,8,14,29,28
7,8,13,28,50
7,8,12,27,80
7,8,11,26,90
7,8,10,25,99
7,8,9,24,83
7,8,8,23,63
7,8,7,22,47
7,8,6,21,28
7,8,5,20,22
7,8,4,19,11
7,8,3,18,3
7,7,15,29,7
7,7,14,28,17
7,7,13,27,30
7,7,12,26,47
7,7,11,25,53
7,7,10,24,59
7,7,9,23,49
7,7,8,22,37
7,7,7,21,28
7,7,6,20,17
7,7,5,19,13
7,7,4,18,6
7,7,3,17,2
7,6,15,28,4
7,6,14,27,9
7,6,13,26,17
7,6,12,25,27
7,6,11,24,30
7,6,10,23,33
7,6,9,22,28
7,6,8,21,21
7,6,7,20,16
7,6,6,19,10
7,6,5,18,7
7,6,4,17,4
7,6,3,16,1
7,5,15,27,2
7,5,14,26,5
7,5,13,25,10
7,5,12,24,16
7,5,11,23,18
7,5,10,22,19
7,5,9,21,16
7,5,8,20,12
7,5,7,19,9
7,5,6,18,6
7,5,5,17,4
7,5,4,16,2
7,5,3,15,1
7,4,15,26,1
7,4,14,25,3
7,4,13,24,6
7,4,12,23,9
7,4,11,22,11
7,4,10,21,12
7,4,9,20,10
7,4,8,19,7
7,4,7,18,5
7,4,6,17,3
7,4,5,16,3
7,4,4,15,1
7,3,15,25,1
7,3,14,24,2
7,3,13,23,4
7,3,12,22,7
7,3,11,21,8
7,3,10,20,9
7,3,9,19,7
7,3,8,18,6
7,3,7,17,4
7,3,6,16,3
7,3,5,15,2
7,3,4,14,1
7,2,15,24,1
7,2,14,23,2
7,2,13,22,3
7,2,12,21,4
7,2,11,20,5
7,2,10,19,5
7,2,9,18,5
7,2,8,17,3
7,2,7,16,3
7,2,6,15,2
7,2,5,14,1
7,2,4,13,1
6,15,15,36,3
6,15,14,35,7
6,15,13,34,13
6,15,12,33,20
6,15,11,32,23
6,15,10,31,25
6,15,9,30,21
6,15,8,29,16
6,15,7,28,12
6,15,6,27,7
6,15,5,26,6
6,15,4,25,3
6,15,3,24,1
6,14,15,35,7
6,14,14,34,16
6,14,13,33,29
6,14,12,32,47
6,14,11,31,53
6,14,10,30,58
6,14,9,29,49
6,14,8,28,37
6,14,7,27,27
6,14,6,26,17
6,14,5,25,13
6,14,4,24,6
6,14,3,23,2
6,13,15,34,14
6,13,14,33,33
6,13,13,32,58
6,13,12,31,93
6,13,11,30,105
6,13,10,29,116
6,13,9,28,97
6,13,8,27,74
6,13,7,26,55
6,13,6,25,33
6,13,5,24,26
6,13,4,23,12
6,13,3,22,3
6,12,15,33,20
6,12,14,32,48
6,12,13,31,86
6,12,12,30,137
6,12,11,29,155
6,12,10,28,170
6,12,9,27,143
6,12,8,26,108
6,12,7,25,81
6,12,6,24,49
6,12,5,23,38
6,12,4,22,18
6,12,3,21,5
6,12,2,20,1
6,11,15,32,24
6,11,14,31,57
6,11,13,30,102
6,11,12,29,162
6,11,11,28,183
6,11,10,27,201
6,11,9,26,169
6,11,8,25,128
6,11,7,24,95
6,11,6,23,58
6,11,5,22,44
6,11,4,21,22
6,11,3,20,5
6,11,2,19,1
6,10,15,31,22
6,10,14,30,54
6,10,13,29,96
6,10,12,28,153
6,10,11,27,173
6,10,10,26,190
6,10,9,25,160
6,10,8,24,121
6,10,7,23,90
6,10,6,22,54
6,10,5,21,42
6,10,4,20,21
6,10,3,19,5
6,10,2,18,1
6,9,15,30,18
6,9,14,29,43
6,9,13,28,77
6,9,12,27,122
6,9,11,26,138
6,9,10,25,151
6,9,9,24,127
6,9,8,23,96
6,9,7,22,72
6,9,6,21,43
6,9,5,20,33
6,9,4,19,16
6,9,3,18,4
6,8,15,29,12
6,8,14,28,29
6,8,13,27,52
6,8,12,26,83
6,8,11,25,93
6,8,10,24,102
6,8,9,23,86
6,8,8,22,65
6,8,7,21,48
6,8,6,20,29
6,8,5,19,23
6,8,4,18,11
6,8,3,17,3
6,7,15,28,7
6,7,14,27,17
6,7,13,26,31
6,7,12,25,49
6,7,11,24,55
6,7,10,23,61
6,7,9,22,51
6,7,8,21,39
6,7,7,20,29
6,7,6,19,17
6,7,5,18,13
6,7,4,17,7
6,7,3,16,2
6,6,15,27,4
6,6,14,26,10
6,6,13,25,18
6,6,12,24,28
6,6,11,23,32
6,6,10,22,35
6,6,9,21,29
6,6,8,20,22
6,6,7,19,16
6,6,6,18,10
6,6,5,17,8
6,6,4,16,4
6,6,3,15,1
6,5,15,26,2
6,5,14,25,6
6,5,13,24,10
6,5,12,23,16
6,5,11,22,18
6,5,10,21,20
6,5,9,20,17
6,5,8,19,13
6,5,7,18,9
6,5,6,17,6
6,5,5,16,4
6,5,4,15,2
6,5,3,14,1
6,4,15,25,1
6,4,14,24,3
6,4,13,23,6
6,4,12,22,10
6,4,11,21,11
6,4,10,20,12
6,4,9,19,10
6,4,8,18,8
6,4,7,17,6
6,4,6,16,3
6,4,5,15,3
6,4,4,14,1
6,3,15,24,1
6,3,14,23,3
6,3,13,22,5
6,3,12,21,7
6,3,11,20,8
6,3,10,19,9
6,3,9,18,8
6,3,8,17,6
6,3,7,16,4
6,3,6,15,3
6,3,5,14,2
6,3,4,13,1
6,2,15,23,1
6,2,14,22,2
6,2,13,21,3
6,2,12,20,5
6,2,11,19,5
6,2,10,18,6
6,2,9,17,5
6,2,8,16,4
6,2,7,15,3
6,2,6,14,2
6,2,5,13,1
6,2,4,12,1
5,15,15,35,3
5,15,14,34,8
5,15,13,33,14
5,15,12,32,22
5,15,11,31,25
5,15,10,30,27
5,15,9,29,23
5,15,8,28,17
5,15,7,27,13
5,15,6,26,8
5,15,5,25,6
5,15,4,24,3
5,15,3,23,1
5,14,15,34,7
5,14,14,33,18
5,14,13,32,32
5,14,12,31,51
5,14,11,30,57
5,14,10,29,63
5,14,9,28,53
5,14,8,27,40
5,14,7,26,30
5,14,6,25,18
5,14,5,24,14
5,14,4,23,7
5,14,3,22,2
5,13,15,33,15
5,13,14,32,35
5,13,13,31,64
5,13,12,30,102
5,13,11,29,114
5,13,10,28,126
5,13,9,27,106
5,13,8,26,80
5,13,7,25,60
5,13,6,24,36
5,13,5,23,28
5,13,4,22,14
5,13,3,21,3
5,12,15,32,22
5,12,14,31,52
5,12,13,30,94
5,12,12,29,150
5,12,11,28,169
5,12,10,27,185
5,12,9,26,156
5,12,8,25,118
5,12,7,24,88
5,12,6,23,53
5,12,5,22,41
5,12,4,21,20
5,12,3,20,5
5,12,2,19,1
5,11,15,31,26
5,11,14,30,62
5,11,13,29,111
5,11,12,28,177
5,11,11,27,199
5,11,10,26,219
5,11,9,25,184
5,11,8,24,139
5,11,7,23,104
5,11,6,22,63
5,11,5,21,48
5,11,4,20,24
5,11,3,19,6
5,11,2,18,1
5,10,15,30,24
5,10,14,29,58
5,10,13,28,105
5,10,12,27,167
5,10,11,26,188
5,10,10,25,207
5,10,9,24,174
5,10,8,23,132
5,10,7,22,98
5,10,6,21,59
5,10,5,20,46
5,10,4,19,22
5,10,3,18,6
5,10,2,17,1
5,9,15,29,20
5,9,14,28,46
5,9,13,27,83
5,9,12,26,133
5,9,11,25,150
5,9,10,24,165
5,9,9,23,139
5,9,8,22,105
5,9,7,21,78
5,9,6,20,47
5,9,5,19,36
5,9,4,18,18
5,9,3,17,4
5,8,15,28,13
5,8,14,27,31
5,8,13,26,56
5,8,12,25,90
5,8,11,24,101
5,8,10,23,111
5,8,9,22,94
5,8,8,21,71
5,8,7,20,53
5,8,6,19,32
5,8,5,18,25
5,8,4,17,12
5,8,3,16,3
5,7,15,27,8
5,7,14,26,19
5,7,13,25,33
5,7,12,24,53
5,7,11,23,60
5,7,10,22,66
5,7,9,21,56
5,7,8,20,42
5,7,7,19,31
5,7,6,18,19
5,7,5,17,15
5,7,4,16,7
5,7,3,15,2
5,6,15,26,4
5,6,14,25,11
5,6,13,24,19
5,6,12,23,30
5,6,11,22,34
5,6,10,21,38
5,6,9,20,32
5,6,8,19,24
5,6,7,18,18
5,6,6,17,11
5,6,5,16,8
5,6,4,15,4
5,6,3,14,1
5,5,15,25,3
5,5,14,24,6
5,5,13,23,11
5,5,12,22,18
5,5,11,21,20
5,5,10,20,22
5,5,9,19,18
5,5,8,18,14
5,5,7,17,10
5,5,6,16,6
5,5,5,15,5
5,5,4,14,2
5,5,3,13,1
5,4,15,24,2
5,4,14,23,4
5,4,13,22,7
5,4,12,21,11
5,4,11,20,12
5,4,10,19,13
5,4,9,18,11
5,4,8,17,8
5,4,7,16,6
5,4,6,15,4
5,4,5,14,3
5,4,4,13,1
5,3,15,23,1
5,3,14,22,3
5,3,13,21,5
5,3,12,20,8
5,3,11,19,9
5,3,10,18,10
5,3,9,17,8
5,3,8,16,6
5,3,7,15,5
5,3,6,14,3
5,3,5,13,2
5,3,4,12,1
5,2,15,22,1
5,2,14,21,2
5,2,13,20,3
5,2,12,19,5
5,2,11,18,6
5,2,10,17,6
5,2,9,16,5
5,2,8,15,4
5,2,7,14,3
5,2,6,13,2
5,2,5,12,1
5,2,4,11,1
4,15,15,34,4
4,15,14,33,9
4,15,13,32,17
4,15,12,31,27
4,15,11,30,30
4,15,10,29,33
4,15,9,28,28
4,15,8,27,21
4,15,7,26,16
4,15,6,25,9
4,15,5,24,7
4,15,4,23,4
4,15,3,22,1
4,14,15,33,9
4,14,14,32,22
4,14,13,31,39
4,14,12,30,62
4,14,11,29,69
4,14,10,28,76
4,14,9,27,64
4,14,8,26,49
4,14,7,25,36
4,14,6,24,22
4,14,5,23,17
4,14,4,22,8
4,14,3,21,2
4,13,15,32,18
4,13,14,31,43
4,13,13,30,77
4,13,12,29,123
4,13,11,28,138
4,13,10,27,152
4,13,9,26,128
4,13,8,25,97
4,13,7,24,72
4,13,6,23,44
4,13,5,22,34
4,13,4,21,16
4,13,3,20,4
4,12,15,31,27
4,12,14,30,63
4,12,13,29,113
4,12,12,28,181
4,12,11,27,204
4,12,10,26,224
4,12,9,25,188
4,12,8,24,143
4,12,7,23,106
4,12,6,22,64
4,12,5,21,49
4,12,4,20,24
4,12,3,19,6
4,12,2,18,1
4,11,15,30,31
4,11,14,29,75
4,11,13,28,134
4,11,12,27,214
4,11,11,26,241
4,11,10,25,265
4,11,9,24,223
4,11,8,23,169
4,11,7,22,125
4,11,6,21,76
4,11,5,20,58
4,11,4,19,29
4,11,3,18,7
4,11,2,17,1
4,10,15,29,30
4,10,14,28,71
4,10,13,27,126
4,10,12,26,202
4,10,11,25,227
4,10,10,24,250
4,10,9,23,210
4,10,8,22,159
4,10,7,21,118
4,10,6,20,72
4,10,5,19,55
4,10,4,18,27
4,10,3,17,7
4,10,2,16,1
4,9,15,28,24
4,9,14,27,56
4,9,13,26,101
4,9,12,25,161
4,9,11,24,181
4,9,10,23,199
4,9,9,22,168
4,9,8,21,127
4,9,7,20,94
4,9,6,19,57
4,9,5,18,44
4,9,4,17,22
4,9,3,16,5
4,9,2,15,1
4,8,15,27,16
4,8,14,26,38
4,8,13,25,68
4,8,12,24,109
4,8,11,23,123
4,8,10,22,135
4,8,9,21,113
4,8,8,20,86
4,8,7,19,64
4,8,6,18,39
4,8,5,17,30
4,8,4,16,15
4,8,3,15,4
4,7,15,26,9
4,7,14,25,23
4,7,13,24,40
4,7,12,23,65
4,7,11,22,73
4,7,10,21,80
4,7,9,20,67
4,7,8,19,51
4,7,7,18,38
4,7,6,17,23
4,7,5,16,18
4,7,4,15,9
4,7,3,14,2
4,6,15,25,5
4,6,14,24,13
4,6,13,23,23
4,6,12,22,37
4,6,11,21,41
4,6,10,20,46
4,6,9,19,38
4,6,8,18,29
4,6,7,17,22
4,6,6,16,13
4,6,5,15,10
4,6,4,14,5
4,6,3,13,1
4,5,15,24,3
4,5,14,23,7
4,5,13,22,13
4,5,12,21,21
4,5,11,20,24
4,5,10,19,26
4,5,9,18,22
4,5,8,17,17
4,5,7,16,12
4,5,6,15,8
4,5,5,14,6
4,5,4,13,3
4,5,3,12,1
4,4,15,23,2
4,4,14,22,4
4,4,13,21,8
4,4,12,20,13
4,4,11,19,14
4,4,10,18,16
4,4,9,17,13
4,4,8,16,10
4,4,7,15,7
4,4,6,14,5
4,4,5,13,3
4,4,4,12,2
4,3,15,22,1
4,3,14,21,3
4,3,13,20,6
4,3,12,19,10
4,3,11,18,11
4,3,10,17,12
4,3,9,16,10
4,3,8,15,8
4,3,7,14,6
4,3,6,13,3
4,3,5,12,3
4,3,4,11,1
4,2,15,21,1
4,2,14,20,2
4,2,13,19,4
4,2,12,18,6
4,2,11,17,7
4,2,10,16,7
4,2,9,15,6
4,2,8,14,5
4,2,7,13,4
4,2,6,12,2
4,2,5,11,2
4,2,4,10,1
4,1,10,15,1
3,15,15,33,4
3,15,14,32,9
3,15,13,31,17
3,15,12,30,27
3,15,11,29,30
3,15,10,28,33
3,15,9,27,28
3,15,8,26,21
3,15,7,25,16
3,15,6,24,10
3,15,5,23,7
3,15,4,22,4
3,15,3,21,1
3,14,15,32,9
3,14,14,31,22
3,14,13,30,39
3,14,12,29,62
3,14,11,28,70
3,14,10,27,77
3,14,9,26,65
3,14,8,25,49
3,14,7,24,36
3,14,6,23,22
3,14,5,22,17
3,14,4,21,8
3,14,3,20,2
3,13,15,31,18
3,13,14,30,43
3,13,13,29,78
3,13,12,28,124
3,13,11,27,140
3,13,10,26,154
3,13,9,25,129
3,13,8,24,98
3,13,7,23,73
3,13,6,22,44
3,13,5,21,34
3,13,4,20,17
3,13,3,19,4
3,12,15,30,27
3,12,14,29,64
3,12,13,28,115
3,12,12,27,183
3,12,11,26,206
3,12,10,25,227
3,12,9,24,191
3,12,8,23,144
3,12,7,22,107
3,12,6,21,65
3,12,5,20,50
3,12,4,19,25
3,12,3,18,6
3,12,2,17,1
3,11,15,29,32
3,11,14,28,76
3,11,13,27,136
3,11,12,26,216
3,11,11,25,244
3,11,10,24,268
3,11,9,23,225
3,11,8,22,171
3,11,7,21,127
3,11,6,20,77
3,11,5,19,59
3,11,4,18,29
3,11,3,17,7
3,11,2,16,1
3,10,15,28,30
3,10,14,27,71
3,10,13,26,128
3,10,12,25,204
3,10,11,24,230
3,10,10,23,253
3,10,9,22,213
3,10,8,21,161
3,10,7,20,120
3,10,6,19,73
3,10,5,18,56
3,10,4,17,27
3,10,3,16,7
3,10,2,15,1
3,9,15,27,24
3,9,14,26,57
3,9,13,25,102
3,9,12,24,163
3,9,11,23,183
3,9,10,22,202
3,9,9,21,170
3,9,8,20,128
3,9,7,19,95
3,9,6,18,58
3,9,5,17,45
3,9,4,16,22
3,9,3,15,5
3,9,2,14,1
3,8,15,26,16
3,8,14,25,38
3,8,13,24,69
3,8,12,23,110
3,8,11,22,124
3,8,10,21,136
3,8,9,20,115
3,8,8,19,87
3,8,7,18,65
3,8,6,17,39
3,8,5,16,30
3,8,4,15,15
3,8,3,14,4
3,7,15,25,10
3,7,14,24,23
3,7,13,23,41
3,7,12,22,65
3,7,11,21,74
3,7,10,20,81
3,7,9,19,68
3,7,8,18,52
3,7,7,17,38
3,7,6,16,23
3,7,5,15,18
3,7,4,14,9
3,7,3,13,2
3,6,15,24,5
3,6,14,23,13
3,6,13,22,23
3,6,12,21,37
3,6,11,20,42
3,6,10,19,46
3,6,9,18,39
3,6,8,17,29
3,6,7,16,22
3,6,6,15,13
3,6,5,14,10
3,6,4,13,5
3,6,3,12,1
3,5,15,23,3
3,5,14,22,8
3,5,13,21,13
3,5,12,20,21
3,5,11,19,24
3,5,10,18,27
3,5,9,17,22
3,5,8,16,17
3,5,7,15,13
3,5,6,14,8
3,5,5,13,6
3,5,4,12,3
3,5,3,11,1
3,4,15,22,2
3,4,14,21,4
3,4,13,20,8
3,4,12,19,13
3,4,11,18,15
3,4,10,17,16
3,4,9,16,13
3,4,8,15,10
3,4,7,14,8
3,4,6,13,5
3,4,5,12,4
3,4,4,11,2
3,3,15,21,1
3,3,14,20,3
3,3,13,19,6
3,3,12,18,10
3,3,11,17,11
3,3,10,16,12
3,3,9,15,10
3,3,8,14,8
3,3,7,13,6
3,3,6,12,3
3,3,5,11,3
3,3,4,10,1
3,2,15,20,1
3,2,14,19,2
3,2,13,18,4
3,2,12,17,6
3,2,11,16,7
3,2,10,15,8
3,2,9,14,6
3,2,8,13,5
3,2,7,12,4
3,2,6,11,2
3,2,5,10,2
3,2,4,9,1
3,1,10,14,1
2,15,15,32,1
2,15,14,31,4
2,15,13,30,6
2,15,12,29,10
2,15,11,28,11
2,15,10,27,13
2,15,9,26,11
2,15,8,25,8
2,15,7,24,6
2,15,6,23,4
2,15,5,22,3
2,15,4,21,1
2,14,15,31,3
2,14,14,30,8
2,14,13,29,15
2,14,12,28,23
2,14,11,27,26
2,14,10,26,29
2,14,9,25,24
2,14,8,24,19
2,14,7,23,14
2,14,6,22,8
2,14,5,21,6
2,14,4,20,3
2,14,3,19,1
2,13,15,30,7
2,13,14,29,16
2,13,13,28,29
2,13,12,27,47
2,13,11,26,53
2,13,10,25,58
2,13,9,24,49
2,13,8,23,37
2,13,7,22,27
2,13,6,21,17
2,13,5,20,13
2,13,4,19,6
2,13,3,18,2
2,12,15,29,10
2,12,14,28,24
2,12,13,27,43
2,12,12,26,69
2,12,11,25,78
2,12,10,24,86
2,12,9,23,72
2,12,8,22,54
2,12,7,21,40
2,12,6,20,25
2,12,5,19,19
2,12,4,18,9
2,12,3,17,2
2,11,15,28,12
2,11,14,27,28
2,11,13,26,51
2,11,12,25,82
2,11,11,24,92
2,11,10,23,101
2,11,9,22,85
2,11,8,21,64
2,11,7,20,48
2,11,6,19,29
2,11,5,18,22
2,11,4,17,11
2,11,3,16,3
2,10,15,27,11
2,10,14,26,27
2,10,13,25,48
2,10,12,24,77
2,10,11,23,87
2,10,10,22,95
2,10,9,21,80
2,10,8,20,61
2,10,7,19,45
2,10,6,18,27
2,10,5,17,21
2,10,4,16,10
2,10,3,15,3
2,9,15,26,9
2,9,14,25,21
2,9,13,24,38
2,9,12,23,61
2,9,11,22,69
2,9,10,21,76
2,9,9,20,64
2,9,8,19,48
2,9,7,18,36
2,9,6,17,22
2,9,5,16,17
2,9,4,15,8
2,9,3,14,2
2,8,15,25,6
2,8,14,24,15
2,8,13,23,26
2,8,12,22,42
2,8,11,21,47
2,8,10,20,51
2,8,9,19,43
2,8,8,18,33
2,8,7,17,24
2,8,6,16,15
2,8,5,15,11
2,8,4,14,6
2,8,3,13,1
2,7,15,24,4
2,7,14,23,9
2,7,13,22,15
2,7,12,21,25
2,7,11,20,28
2,7,10,19,31
2,7,9,18,26
2,7,8,17,19
2,7,7,16,14
2,7,6,15,9
2,7,5,14,7
2,7,4,13,3
2,7,3,12,1
2,6,15,23,2
2,6,14,22,5
2,6,13,21,9
2,6,12,20,14
2,6,11,19,16
2,6,10,18,17
2,6,9,17,15
2,6,8,16,11
2,6,7,15,8
2,6,6,14,5
2,6,5,13,4
2,6,4,12,2
2,5,15,22,1
2,5,14,21,3
2,5,13,20,5
2,5,12,19,8
2,5,11,18,9
2,5,10,17,10
2,5,9,16,8
2,5,8,15,6
2,5,7,14,5
2,5,6,13,3
2,5,5,12,2
2,5,4,11,1
2,4,15,21,1
2,4,14,20,2
2,4,13,19,3
2,4,12,18,5
2,4,11,17,5
2,4,10,16,6
2,4,9,15,5
2,4,8,14,4
2,4,7,13,3
2,4,6,12,2
2,4,5,11,1
2,4,4,10,1
2,3,15,20,1
2,3,14,19,1
2,3,13,18,2
2,3,12,17,4
2,3,11,16,4
2,3,10,15,5
2,3,9,14,4
2,3,8,13,3
2,3,7,12,2
2,3,6,11,1
2,3,5,10,1
2,2,14,18,1
2,2,13,17,1
2,2,12,16,2
2,2,11,15,3
2,2,10,14,3
2,2,9,13,2
2,2,8,12,2
2,2,7,11,1
2,2,6,10,1
2,2,5,9,1
1,15,12,28,1
1,15,11,27,1
1,15,10,26,1
1,15,9,25,1
1,14,13,28,1
1,14,12,27,1
1,14,11,26,1
1,14,10,25,2
1,14,9,24,1
1,14,8,23,1
1,14,7,22,1
1,13,14,28,1
1,13,13,27,2
1,13,12,26,3
1,13,11,25,3
1,13,10,24,3
1,13,9,23,3
1,13,8,22,2
1,13,7,21,1
1,13,6,20,1
1,13,5,19,1
1,12,15,28,1
1,12,14,27,1
1,12,13,26,2
1,12,12,25,4
1,12,11,24,4
1,12,10,23,5
1,12,9,22,4
1,12,8,21,3
1,12,7,20,2
1,12,6,19,1
1,12,5,18,1
1,11,15,27,1
1,11,14,26,2
1,11,13,25,3
1,11,12,24,4
1,11,11,23,5
1,11,10,22,5
1,11,9,21,5
1,11,8,20,3
1,11,7,19,3
1,11,6,18,2
1,11,5,17,1
1,11,4,16,1
1,10,15,26,1
1,10,14,25,1
1,10,13,24,3
1,10,12,23,4
1,10,11,22,5
1,10,10,21,5
1,10,9,20,4
1,10,8,19,3
1,10,7,18,2
1,10,6,17,1
1,10,5,16,1
1,10,4,15,1
1,9,14,24,1
1,9,13,23,2
1,9,12,22,3
1,9,11,21,4
1,9,10,20,4
1,9,9,19,3
1,9,8,18,3
1,9,7,17,2
1,9,6,16,1
1,9,5,15,1
1,8,14,23,1
1,8,13,22,1
1,8,12,21,2
1,8,11,20,3
1,8,10,19,3
1,8,9,18,2
1,8,8,17,2
1,8,7,16,1
1,8,6,15,1
1,8,5,14,1
1,7,13,21,1
1,7,12,20,1
1,7,11,19,1
1,7,10,18,2
1,7,9,17,1
1,7,8,16,1
1,7,7,15,1
1,6,12,19,1
1,6,11,18,1
1,6,10,17,1
1,6,9,16,1
1,6,8,15,1
1,5,10,16,1
